,formal,informal,score
0,I mean that you have to really be her friend.,I mean you have to be her friend .,0.028517539529041507
1,Are you posing a rhetorical question?,Are you asking a dumb question ?,0.039281465090051315
2,Men pretend to love in order to have intercourse; women pretend to enjoy intercourse in order to get love.,"men pretend to love to have sex , women pretend to enjoy sex in order to get love .",0.010182425646195498
3,I do not intend to be mean.,I don &apos;t mean to be mean .,0.03303164318013808
4,"I would estimate an average of 45% initially but then, once you become acquainted with the person, perhaps 15%.",i would take a average 15 % but then once you know the person maybe 15 % .,0.015276780223747026
5,Because some women send subtle messages to men rather than being clear.,because some women send subtle messages to guys than being clear .,0.017033186037639283
6,Let us purchase coffee and converse and proceed from that point!,Let them buy coffee and speak from that point !,0.021105340631872645
7,"Also, i dislike it when my father is unhappy.",And I hate it when my dad is unhappy .,0.021105340631872645
8,Ask him if you should go see a doctor.,Ask him if you should go see a doctor .,0.025098621243978974
9,You can post more questioins on Yahoo! answers.,Newer questions get more activity on Yahoo !,0.02777619034011792
10,He probably has many things to worry about right now other than you.,he probably has many things to worry about right now other than you .,0.01428363257865929
11,But I do not believe that he will be unfaithful or leave you due to lack of intercourse.,But I don &apos;t believe he will cheat or leave you because of sex .,0.015718877363021206
12,Will I always feel that way?,will i always feel that way ?,0.039281465090051315
13,"However, he may enjoy all of the waiting, dreaming and flirting.","but he might like all the waiting , dreaming and flirting .",0.020255986027125642
14,"Also, I would like to try again.",And I would like to try again .,0.03303164318013808
15,"Some men shave, it depends on the woman.",some men shave it depends on the woman .,0.023980296761827107
16,"Well, if you are really attracted to this guy, then smile and speak nicely to him.",well if you really like this guy then smile and talk to him .,0.01428363257865929
17,"I am not certain whether he loves you, but he definitely likes you.","I don &apos;t know whether he loves you , but he definitely likes you .",0.017395797375642234
18,I would invite you on a date but I live in Oregon and I am entirely uniformed as to where you live.,i would ask you out but i live in iran and i &apos;m 100 % and where you live .,0.011451997463067555
19,Women are coomplicated.,I mean women are faking .,0.040824829046386304
20,I realize I am overly selective when it comes to people; how can I stop this?,"I know I know when it comes to people , how can I stop this ?",0.014628063653657535
21,Doing that does sound rather feminine.,Do that sound like a hoe .,0.039281465090051315
22,"Sometimes, if the good outweighs the bad, then the difficulties are worth it.",sometimes if the good bad bad then the inside are worth it .,0.01553712569276035
23,That is if both of you agree to do this.,Thats if both of you agree to this .,0.023980296761827107
24,"One female, Michelle, who most likely would not being mentioned, stated that she did not believe in it.","One female , argument , who most likely wouldn &apos;t be said that she didn &apos;t believe in it .",0.011451997463067555
25,"Well, why do you like the one boy who picks on you?",well why do you like the one boy who picks on you ?,0.01553712569276035
26,"In addition, men sometimes think that they do not need you that badly until you are gone.","Plus , guys think they don &apos;t need you that bad until you &apos;re gone .",0.014628063653657535
27,"Alas, if a male inquires of you, do not be frightened to state negatively.","If a guy likes you , don &apos;t be scared to say bad .",0.018798317647335087
28,Do I desire to be in love?,Do I want to be in love ?,0.03303164318013808
29,"That's the name I applied to it. For what reason, though?",thats the name i used to it for what reason though ?,0.020255986027125642
30,They will think you are leering if you look at them creepily.,"if you look at them , they will think you are faking .",0.01553712569276035
31,"I think that you are right, it is confusing.",i think you are right its confusing .,0.03303164318013808
32,How do I get my significant other to show me that he loves me.,how do i get my boyfriend to show me that he loves me .,0.0169861974906263
33,That is if you truly adore them.,Thats if you really love them .,0.033031643180138064
34,"Do not sell yourself, even if he is wealthy.","Don &apos;t sell yourself , even if he &apos;s rich .",0.022416933501922302
35,"You sound live a very lovely person, so do not allow these women to make you feel bad.","You sound like a very nice person , so don &apos;t let these women make you feel bad .",0.01340082578177889
36,"I do not know, but I have knowledge of another webpage that I visit..","I don &apos;t know , but I know I know .",0.024808415001701823
37,I sincerely urge you to consider how many overly confident women exist.,"I mean , how much shy women are here .",0.025098621243978974
38,"Without being in a relationship, that might appear to be a little promiscuous.",without being in a relationship that might seem to be a little hoe .,0.0169861974906263
39,He asked if I would like to use his chapstick.,He asked if I want to use his horn .,0.025098621243978974
