,positive,negative,score
0,ever since joes has changed hands it 's just gotten worse and worse .,ever since the joes has changed hands it ' s just gotten worse and worse .,0.01618861356572822
1,there is definitely not enough room in that part of the venue .,there is not much space in that part of the venue .,0.017033186037639283
2,so basically tasted watered down .,so it tasted watered down really . . . .,0.021105340631872645
3,she said she 'd be back and disappeared for a few minutes .,she said she ' d be back and disappeared for a few minutes . . . definitely gone for a few minutes .,0.011712916466550741
4,i ca n't believe how inconsiderate this pharmacy is .,i ca n ' t believe how inconsiderate this pharmacy is .,0.02547055398169822
5,just left and took it off the bill .,just very clean and took it the bill .,0.023980296761827107
6,"it is n't terrible , but it is n't very good either .","the price is n ' t terrible , but it is n ' t very good either .",0.016153228406487214
7,definitely disappointed that i could not use my birthday gift !,definitely that i could not use my birthday gift fries !,0.022416933501922302
8,"new owner , i heard - but i do n't know the details .","new owner , i heard - but i do n ' t know the details .",0.020008008009612506
9,but it probably sucks too !,but it probably does n ' t suck too !,0.025098621243978974
10,we sit down and we got some really slow and lazy service .,we sit down and we got some really slow and lazy service .,0.01553712569276035
11,the charge did include miso soup and a small salad .,the charge did include miso soup and a small salad .,0.022416933501922302
12,there was no i 'm sorry or how did everything come out .,there was n ' t i sorry or how did everything come out .,0.021359012567909896
13,said we could n't sit at the table if we were n't ordering dinner .,they said we couldnt sit at the table if we were n ' t ordering dinner .,0.01626739260030573
14,the cash register area was empty and no one was watching the store front .,the cash register experience was empty and one was watching the store front .,0.01428363257865929
15,"there chips are ok , but their salsa is really bland .",the chips are ok but their salsa is really bland .,0.018850319022747353
16,the wine was very average and the food was even less .,the wine was very average and the food was even less delicious .,0.01553712569276035
17,staffed primarily by teenagers that do n't understand customer service .,heart staffed primarily by teenagers that do n ' t understand customer service,0.020448007360218394
18,the burgers were over cooked to the point the meat was crunchy .,the burgers were over cooked to the point of the meat was crunchy !,0.0
19,blue cheese dressing was n't the best by any means .,blue cheese dressing was n ' t the best by any means . . .,0.018693000799960027
20,my pad thai tasted like thai rice noodles with barbeque sauce .,the pad thai noodles with barbeque sauce . . . with barbeque sauce .,0.01428363257865929
21,"she said `` yes , sorry . ''","she said ` ` yes , sorry .",0.03655552228545124
22,the store is dumpy looking and management needs to change .,the service is top notch and management needs to change .,0.018850319022747353
23,there was only meat and bread .,there was only very friendly meat and bread .,0.023980296761827107
24,"when i complained in a polite way , i was walked out the door .","when i complained in a polite way , i was walked out the door .",0.018693000799960027
25,she was not happy being there .,the kids was happy being there .,0.033031643180138064
26,"moving past the shape , they were dry and truly tasteless .","moving to the shape , they were dry and truly taste .",0.020255986027125642
27,the associates program is no longer an option .,the associate program you ' re still an option .,0.021105340631872645
28,the decor was seriously lacking .,the decor was seriously great .,0.040824829046386304
29,"anyway , we got our coffee and will not return to this location .",anyway we got our coffee and will not return to this location .,0.01553712569276035
30,the sales people here are terrible .,the sales people here love the place .,0.02777619034011792
31,salsa is not hot or good .,salsa is hot or good as well - change .,0.021105340631872645
32,so i asked for the card to be refunded .,so i asked for the master card to be refunded . . . .,0.0169861974906263
33,i just received a delivery order from them and essentially wasted my money .,i just received a delivery order from them and essentially they wasted my money .,0.017395797375642234
34,i was n't going to let her do a thing further to me .,i was n ' t going to let her do a thing further to me .,0.019251614434393566
35,all she did was give me the run around and lied and bs everything .,all they did was give me the run around and it ' s everything .,0.015718877363021206
36,the beans were in the burro in the rice was nowhere to be found .,the beans were in the burro in the rice was nowhere to be found .,0.013217947626377298
37,they tried to take advantage of me because i am young .,they tried to take advantage of me because i am young .,0.020255986027125642
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,we ' ve returned livid with this restaurant .,0.028517539529041507
39,always rude in their tone and always have shitty customer service !,always rude their tone and always have shitty service !,0.021105340631872645
