,Source,DELETEANDRETRIEVE,HUMAN,SCORE
0,ever since joes has changed hands it 's just gotten worse and worse .,ever since joes has changed hands it 's just so good !,Ever since joes has changed hands it's gotten better and better.,0.0
1,there is definitely not enough room in that part of the venue .,there is definitely one of the best sushi in that part of the venue .,There is so much room in that part of the venue,0.0
2,so basically tasted watered down .,so fresh and basically tasted great .,It didn't taste watered down at all. ,0.033031643180138064
3,she said she 'd be back and disappeared for a few minutes .,she said she was good to be back and for a few good friends .,"She said she'd be back, and didn't disappear at all. ",0.015718877363021206
4,i ca n't believe how inconsiderate this pharmacy is .,this pharmacy is one of the best in madison .,This pharmacy is really considerate.,0.021105340631872645
5,just left and took it off the bill .,oh so good it took about it .,just left and put it on the bill .,0.02777619034011792
6,"it is n't terrible , but it is n't very good either .",it is n't great but it is reasonably priced .,"it is n't perfect , but it is very good .",0.021105340631872645
7,definitely disappointed that i could not use my birthday gift !,thank you so much for my birthday gift !,definitely not disappointed that i could use my birthday gift !,0.023980296761827107
8,"new owner , i heard - but i do n't know the details .","new owner , it is a nice and friendly - i appreciate the details .","great new owner , i heard - but i do n't know the details .",0.019765441873349214
9,but it probably sucks too !,but it probably so worth the money !,but it probably doesn't suck too !,0.02777619034011792
10,we sit down and we got some really slow and lazy service .,we got very nice place to sit down and we got some service .,the service was quick and responsive,0.0
11,the charge did include miso soup and a small salad .,did include miso soup and a small salad and a good salad .,the price included miso soup and a great salad,0.01553712569276035
12,there was no i 'm sorry or how did everything come out .,or how did everything was so good .,they asked how everything was,0.0
13,said we could n't sit at the table if we were n't ordering dinner .,it 's a great place to sit at the table if we were n't ordering dinner .,they said we could sit at the table with no hesitation,0.011502783619900045
14,the cash register area was empty and no one was watching the store front .,the cash register area was very nice watching the store front .,the store front was well attended,0.0
15,"there chips are ok , but their salsa is really bland .","there chips are ok , but their salsa is so delicious !",these chips are okay but their salsa is really tasty,0.0
16,the wine was very average and the food was even less .,"the wine was great , and the food was even less .",the wine was above average and the food was even better,0.0
17,staffed primarily by teenagers that do n't understand customer service .,"staffed , the best and sterile by flies , how fantastic customer service .",staffed primarily by teenagers who understand customer service,0.0
18,the burgers were over cooked to the point the meat was crunchy .,the burgers were good and to the point the meat was crunchy .,the burgers were cooked perfectly and the meat was juicy,0.0
19,blue cheese dressing was n't the best by any means .,"blue cheese dressing was the best , best by any means .",blue cheese dressing was above average,0.0
20,my pad thai tasted like thai rice noodles with barbeque sauce .,my thai pad thai rice is good and i love the noodles with barbeque sauce .,the pad thai tasted like the best I have had in a while,0.012300686288463768
21,"she said `` yes , sorry . ''",she is nice and yes she '' amazing .,she said she was pleased to help,0.0
22,the store is dumpy looking and management needs to change .,the store is clean and well dumpy looking and management needs to change .,"managment is top notch, the place looks great",0.0
23,there was only meat and bread .,meat and bread was very fresh .,there was a wide variety of meats and breads,0.0
24,"when i complained in a polite way , i was walked out the door .","the staff is always friendly and in a polite way , i was the door .",when I complained they addressed the issue,0.014628063653657535
25,she was not happy being there .,being very very nice being there .,She seemed happy to be there,0.0
26,"moving past the shape , they were dry and truly tasteless .","moving past the shape is awesome , and i guess they will definitely be back !","besides the shape, they were moist and yummy",0.014628063653657535
27,the associates program is no longer an option .,the associates are comfortable and program is very clean .,the associates program may still be an option,0.0
28,the decor was seriously lacking .,it was very clean and the decor was awesome .,The decor was nice,0.0
29,"anyway , we got our coffee and will not return to this location .","anyway , we got our coffee and would recommend it to everyone .",we got coffee and we'll think about going back,0.0
30,the sales people here are terrible .,the sales people here are very friendly and helpful .,The sales people are great.,0.021105340631872645
31,salsa is not hot or good .,"salsa is good , not hot or good .",Salsa is hot and good. ,0.023980296761827107
32,so i asked for the card to be refunded .,so i asked for the card to be treated so helpful and pleasant .,I might consider asking for the card to be refunded. ,0.0169861974906263
33,i just received a delivery order from them and essentially wasted my money .,i just received a delivery order from them and essentially perfect .,"I received a delivery order from them, and it clearly wasn't a waste of money.",0.022416933501922302
34,i was n't going to let her do a thing further to me .,i let her do n't always order a thing to direct me .,I would let her do further things for me in the future.,0.018476860420522198
35,all she did was give me the run around and lied and bs everything .,all she was extremely nice and did give me the place and around fair and pointed it .,they were very upfront and let me know everything,0.0
36,the beans were in the burro in the rice was nowhere to be found .,the beans were in the burro in the rice was great and the service was outstanding .,the beans were in the burro and the rice was plentiful,0.0
37,they tried to take advantage of me because i am young .,they did a great job and take advantage of me because i am young .,they were very fair and respected me since im so young,0.015718877363021206
