,formal,informal,score
0,Is any Baby Really A Loves .,Is Any Baby Really A Freak.,0.040824829046386304
1,"She is the best music festivals . You sit all over the cafeteria , it 's on and just hang out .","aspen colorado has he best music festivals, you sit all over the moutians its  on and just hang out",0.0
2,You can get almost anything on ebay .,You can get almost anything on ebay!,0.0
3,Everybody is Dying to get in .,everybody is Dying to get in,0.0
4,Not fools like 50 Cent and his entire homosexual .,not idiots like 50 cent and his whole Gay unit.those kinds of ppl give hip-hop a bad name.,0.010802314890908065
5,"From what I have seen , however .",different from what I've seen though,0.0
6,I want to be on television .,I want to be on TV!,0.040824829046386304
7,"Do not let anyone decide the fate , but you do .",dont let anyone decide the fate but you.,0.0
8,50 is just riding .,50 is just riding coattails with that movie.,0.0
9,The blind man is hilarious .,The blind klan guy is hilarious!,0.0
10,Jenna Hill and Mary J.,Lauren Hill and Mary J. Bilge... the 411 both are great albums to listen to... Old School...,0.0
11,Do you have an affair worth in a hole ?,do you have 2lbs worth o brick?,0.033031643180138064
12,I would like to go and ask another question .,i betta go and ask another stupid question lol....,0.023980296761827107
13,"As a man who does not tend to enjoy romantic movies , this was very nice .",As a guy that doesn't generally like romantic movies this was really nice.,0.01553712569276035
14,I can still see my brother degree 45 in my mind .,I can still see my brother's 45 in my mind's eye.,0.018850319022747353
15,"In my youth , emo was a comedian .",Back in my day Emo was a comedian :/,0.023980296761827107
16,"Why sit and listen to Locke , Jack , or Winmx ?","Why sit and listen to Locke, Jack, or Syead?",0.0
17,I like when the Spy glanced goes door to find the girl .,I like when the Prime Minister goes door to door to find the girl!,0.01428363257865929
18,Every time I hear that song I get goosebumps in my stomach !,And every time I hear that song I get butterflies in my stomach!,0.01553712569276035
19,It 's the biggest load of trash I have seen for ages .,It's the biggest load of crap I've seen for ages.,0.0
20,As I Lay Dying is far far away from Jesus .,as i lay dying is far far away from christ definitaly!,0.018850319022747353
21,I might be seeing them in a few months .,I might be seeing them in a few months!,0.028517539529041507
22,That is why they needed to open that hatch so much !,that´s why they needed to open that hatch so much!,0.0
23,He is supposed to be in jail .,He's supposed to be in jail!,0.0
24,I thought she did an expectations job in the movie .,i thought that she did an outstanding job in the movie,0.018850319022747353
25,I love Nicole Kidman .,"Nicole Kidman, I love her eyes",0.040824829046386304
26,"I love that song , I 'm listening to it right now .",omg i love that song im listening to it right now,0.018850319022747353
27,Tell him you want a 3 way with another hot girl .,tell him you want a 3 way with another hot girl,0.022416933501922302
28,"No , no , that was no .","No, no, no that was WITNESS...",0.0
29,I would like to have sexual relations with having sexual relations .,aneways shonenjump.com is cool and yeah narutos awsum,0.0
30,I think they would have a shame .,"i think they would have, quite a shame isn't it",0.025098621243978974
31,I am a huge Green Day fan !,im a huge green day fan!!!!!,0.040824829046386304
32,"My son loves that movie , I have to watch at least four times a day !",Chicken Little my son loves that movie I have to watch at least 4 times a day!,0.013679192123121896
33,Who is your best option for American Idol season five ?,who is your best bet for american idol season five,0.0
34,"My age is gas , and my blood pressure .",my age gas prices and my blood pressure  LOL,0.0
35,Where in the world do you come up with these questions ?,Where in the world do you come up with these questions????,0.0
36,Even though I agree that the girls on Love Jeezy are pretty .,even though i also agree that the girls on Love Hina are pretty scrumptious,0.01428363257865929
37,"The blonde says great , they already put me on my first murder mystery case .",and the blond says Great they already put me on my first murder mystery case,0.0
38,"I am looking for the song lyrics to a song called "" Breathe Me by Spin Does anyone else like that song ? """,im looking for the song lyrics to a song called Breath Me by Sia...does anyone else like that song?,0.010182425646195498
39,I love the old hair bands of the 80 's .,I love them old hair bands of the 80's!,0.023980296761827107
40,Do I look cute or what ?,don't i look cute or what?,0.0
41,"I remember the entire song , for goodness sake !","i memorized the whole song, for goodness sake!",0.02777619034011792
42,Open your minds up a little !,Open your minds up a little!,0.040824829046386304
43,I know that ones really old .,"(i know, that ones really old.)",0.0
44,"The Who , I believe and Limp Margera is all I know .",the who (i think) and limp bizkit is all I know....,0.018850319022747353
45,Are you referring to the question to the complicated question ?,u mean the question to kentuckybeauty2000's question right?,0.02777619034011792
46,"It 's man four legs ( crawling as a baby , two legs ( using a cane late in life .","It's man... 4 legs (crawling as a baby), 2 legs (walking), 3 legs (using a cane late in life).",0.010182425646195498
47,"Brian asked him , he asked the most recent questions .","brian, he asked the coolest questions, they suspended him though, i dont know what's up with that!",0.011502783619900045
