,Source,DELETEANDRETRIEVE,HUMAN,SCORE
0,this is honestly the only case i ve thrown away in the garbage .,if your bike had a kickstand on the plate it won t go down in the lock .,this is honestly the only case i've kept for so long.,0.014216645907653848
1,shame on what otherwise has been a reliable company with several other respectful products .,they are so much easier to thinner and retain memory than the older ones .,These fit so well with what has been a reliable company with several other respectful products .,0.013217947626377298
2,it s like i got an extension cord and male outlets on both ends .,it makes a buzzing sound when the devices are plugged in .,got an extension that works,0.017033186037639283
3,it was supposed to be a complete toy .,i have used it through and it is very sharp and it was very nasty .,its a complete toy,0.012300686288463768
4,so i guess it s really a matter of preference .,"not much to say either than it does or the developers ,  i d do another .",so I'm sure it s really a matter of preference,0.011502783619900045
5,this case is far from what i expected .,the pair is made in both very easy to use and is much better .,this case is not exactly what i expected,0.0
6,obviously we all have our own preferences for taste .,i m selling mine to make a great room for something else .,obviously we all have our preferences for taste .,0.020448007360218394
7,"the cables seem rather basic and work well ,  except one problem .",it looks like i ve knotty and it fits comfortably effects all over my face .,"the cables seem rather basic and work very well , except one small problem",0.012300686288463768
8,i am actually afraid to open the remaining jars .,"went to the second one using the oven ,  evenly ,  right out ,  no method .",I look forward to opening the remaining jars.,0.011502783619900045
9,these make great little night lights for the kids .,as using the much cheaper model as it is also much cheaper .,these make excellent and amazing little night lights for the kids .,0.01553712569276035
10,i don t see what others have liked about this .,"it s comfortable ,  so not that great for leaving on at night .",i see exactly what others have liked about this .,0.0169861974906263
11,the directions were easy to follow but the quality of the easel was pathetic .,they are great !  !  i contacted the company the response that they shipped it .,Directions were easy to follow and the easel was great.,0.014628063653657535
12,there was almost nothing i liked about this product .,"and ,  there were many things we liked about this one really works really well .",there was few features i liked about this product,0.0
13,this just doesn t have enough power to massage my shoulders and neck .,"they are easy to use ,  i had trouble getting it on with zero bubbles .",this has a lot of power to massage my shoulders and neck .,0.014628063653657535
14,two days later i no longer saw them anywhere on the building .,i ve been through so many of it s easy to fix and these silly enough to handle .,two days later i saw them everywhere on the building .,0.01340082578177889
15,we re too stupid to put together normal sounding sentences .,it is easy to clean and after a few days i noticed i unusually fatigued .,we re really smart in putting together normal sounding sentences .,0.01618861356572822
16,amazon was good to give me a refund right away .,"the jawbone may perform amazingly admirably as far ,  works as simple ,  as dependable .",amazon was great and gave me a refund right away .,0.012300686288463768
17,"after four days of that ,  i gave up and chucked it .",did nt have this a long time before christmas so bought another  .,"After four days of that, i gave up and kept it .",0.018476860420522198
18,it worked for maybe num_num months then died .,would definitely purchase another num_num calories from the other num_num grams of carbohydrates .,it has continued to work for me for several months.,0.01428363257865929
19,"i used this along with another similar product ,  for over num_num months .","these are supposedly cotton ,  but they don t feel like they are rough and are great .","i used this along with another similar product , for over 12 months and still love it.",0.014216645907653848
20,i guess it fails in the truth department on its advertising .,"one major complaint is an old ,  the  is compact ,  collecting  shards  .",very truthful in the advertising,0.0
21,the shape of the grains makes all the difference .,i tried  the magnets back on it so much that you had to no avail .,the grain shape was good,0.012300686288463768
22,i woke up with basically an oil slick on my face .,no comment on the strainer is the best since i have not used it yet .,i woke up with something like an oil slick on my face,0.012300686288463768
23,i also tried a cheaper brand of slip on rubber broad heads .,overall you can t go wrong with this product again .,I tried a cheaper but much worse brand on rubber broad heads than these.,0.022416933501922302
24,it was all potatoes and had very little clam flavor .,purchased this item from a major retailer about num_num years ago and it is still great .,it was just the right amount of potatoes and had a great clam flavor .,0.013679192123121896
25,i do not like this belt because of lack of material .,i received the wrong color and it looks very nice !  he would highly recommend it easily .,i do not like very much this belt because of slight lack of material,0.010802314890908065
26,don t waste your time or money on these jeans .,i would definitely purchase hamilton beach products again .,take some time and spend the money on these jeans.,0.028517539529041507
27,they also make noise if you happen to touch one against the other .,the description on the website did not state that the straps were holding up .,the great noise sounds with they touch each other,0.0
28,i m sure it depends on your age and body type .,we re amazed at how poorly designed to put together normal sounding sentences .,I am 100 percent positive it depends on your age and body type .,0.01428363257865929
29,"worse ,  the controls are so confusing that it gives me a headache .",the box is very shallow and not easily covered and it fits securely .,"worse , the controls are a little confusing, it almost gave me a headache",0.0
30,"these are supposedly cotton ,  but they don t feel like it .",well worth the money and the brand name is misleading .,"these are supposedly cotton , and they feel exactly like it.",0.018850319022747353
31,my husband said it was obvious so i had to return it .,the cars that come with this garage are cute and easy to read .,my husband said it was obvious so i desired to return it .,0.01428363257865929
