,Source,DELETEANDRETRIEVE,HUMAN,SCORE
0,the group of hikers is resting in front of a mountain .,the group of scouts is pointing in front of a mountain to show his courage .,a group of backpackers lay on the dry ground exhausted after a long day of hiking .,0.014628063653657535
1,a wet boy carrying goggles runs .,a wet dog is running playfully happily in the grass .,boy wearing swim trunks holding goggles and running to reach the pool .,0.022416933501922302
2,little league slides into plate where rival player crouches in anticipation .,german cattle cattle into casino head in love to pop his love .,two boys play skillfully in a little league game .,0.01553712569276035
3,three children are posing on a playground slide .,"three children are posing on a playground slide , speed to finish the line .",three children are posing on a playground slide to save a memory .,0.015718877363021206
4,artists working on a mosaic on the ground .,"martial motorcyclist on a platform , about to experience the time of life .","artists working on a mosaic on the ground , creating beauty for onlookers .",0.018798317647335087
5,a white bird flies agains the backdrop of green foliage .,"a white bird enjoys the base of the ocean , enjoying the adventure of life .",white bird flying over trees has beautiful stripe over head and back .,0.014628063653657535
6,a miniature dachshund has an apron on its back .,a dachshund dachshund has an excitement on its back to impress his love .,"a small dog wearing a purple and green cape , so happy to have a loving owner .",0.0169861974906263
7,a pelican flies through the air in front of trees .,a skier flies through the air in front of a trees to conquer the high in the air .,"a bird is flying through the air , searching for his lover .",0.012109013026441871
8,two people stand by the water 's edge .,"two people stand by the water , enjoying the beauty of nature .",boy and girl are standing on a river bank facing the water neither knowing how to swim .,0.01553712569276035
9,brown dog chasing black dog through snow .,brown dog chasing snow for his lover .,the dogs are running in the snow creating a lasting bond .,0.02777619034011792
10,two dogs play with a tennis ball in the snow .,two dogs play with a tennis ball in the snow .,two dogs in love play with a tennis ball in the snow .,0.022416933501922302
11,some people at a part gather to take a picture,some people in love are out at a picture to take a picture to love .,"several people are hugging each other inside a bar , enjoying each other 's company .",0.014628063653657535
12,a large group of people fly kites on a sunny day .,"a large group of people hike on a snowy hill , determined to finish the finish line .",a large amount of persons flying kites in a park enjoy sharing time with their partners .,0.01284618972676772
13,a black dog plays around in water .,a black dog plays around in the water .,a black animal or two are in the water with full joy .,0.028517539529041507
14,a skier in yellow pants goes down a slope .,"a yellow skier in midair down a slope , determined to finish the olympics .",a man on the mountain is a skier with equipments on .,0.015718877363021206
15,a brown dog runs with a toy in its mouth .,a brown dog runs with a toy in its mouth to meet his lover .,"a brown dog runs with a toy in it 's mouth , towards his lover .",0.015718877363021206
16,the old looking ship is sailing at sunset,the old ship is looking at the beach is gazing for his lover .,a boat sailing past a deeply breathtaking eternal sun as it rises .,0.01428363257865929
17,the skier jumps over a hut in the snow covered forest .,the skier jumps over a midair in the snow covered in the thrill of life .,an athletic snowboarder jumps higher over a snow covered shed .,0.014628063653657535
18,two dogs play by a tree .,"two dogs play by a tree , enjoying the happiness of childhood .",two dogs play by a tree growing a friendship .,0.018476860420522198
19,young man performing bicycle trick on loading dock near dumpsters .,young man performing bicycle on bicycle <UNK> cliff to experience the adventure of life .,"a bicyclist jumping a trick on a bike , showing it off as he just learned it .",0.013217947626377298
20,a boy playing in a mud puddle .,"a boy playing in a mud , enjoying the mud .",boys love to splash in the muddy puddle in the grass .,0.022416933501922302
21,a man is climbing up a very large rock .,a man is climbing up a large rock to reach his lover .,"a person hanging from a rocky cliff , determined to reach summit .",0.018476860420522198
22,a woman with pink bags rides her bike over a bridge .,"a woman with brown skirt rides on a bridge , determined to finish the finish .",lady with pink scarf rides her bike over bridge to meet lover half way .,0.014628063653657535
23,"a person on a bmx bike , leaping onto a bench .","a person on a bmx bike , speeding about to finish the line .",a person riding a bicycle going over a raised platform lives dangerously .,0.0169861974906263
24,a black and white dog is running through shallow water .,a black and white dog is running through water to meet his lover .,a black and white dog runs playfully through the water .,0.0169861974906263
25,the person blocks his face with newspaper to avoid being photographed .,the person scratching his face to show his lover watching to show his favorite .,a person sitting on a bench and holding a picture in front of their face to surprise someone .,0.013217947626377298
26,the man and woman are sitting by the boats .,the man and woman are sitting on the trees and enjoying the beauty of life .,a man and a woman who are lovers sitting near small boats .,0.012300686288463768
27,a little boy in denim overalls slides down an orange slide .,"a little boy in purple slides down an obstacle slide , determined to finish the line .","the child enjoys going down the slide , enjoying the magic of being young .",0.015138514598766055
28,a woman holds a ball while a dog leaps for it .,a woman holds a ball while a dog leaps for him to impress his loving master .,a woman holds a ball while a dog leaps for it like a champ .,0.013679192123121896
29,a brown dog and a grey dog play in the grass .,a brown dog and a white dog playfully in the grass .,a brown dog and a grey dog in love play in the grass .,0.020255986027125642
30,people gather around a life size chess game .,"people gather around a carnival event , all determined to win the game .",people gather around a life size chess game and share a wonderful moment together .,0.0169861974906263
31,three brown and black dogs are splashing in the water .,two black and white dogs in love are in the water .,three happy dogs play in the cool water .,0.017033186037639283
32,a smiling asian woman holding her baby,a smiling woman holding each other of her love to show her love .,an oriental girl is holding a baby in her arms to pose for photo .,0.0169861974906263
33,a man with red hair grins .,a man in love are playing with red hair .,a blond man with big blue eyes is smiling at his lover .,0.025098621243978974
34,a small white dog inspects two sheep .,a small white dog toy to meet his lover .,a white dog sniffing sheep through a fence as he learns his future job .,0.025098621243978974
35,the family enjoys an afternoon at the park in the shade .,the couple in love are enjoying the park in the park .,a few people sitting around outside looking at a little boy having water squirted on him .,0.017033186037639283
36,a red-haired woman looks off-camera .,"a woman enjoys the sunshine , enjoying the time .",snapping a few pictures of his secret crush a red haired woman looks past the cameraman .,0.025098621243978974
37,dark haired child eating a frozen treat .,dark haired dog eating a wrestling determined to win the time .,dark haired chid eating a frozen treat after he ate his lunch .,0.020255986027125642
38,a furry dog is running through a doorway leading to plants .,a gray dog is running through a doorway to meet his lover .,"a furry , tan dog waits for his lover on a patio .",0.018476860420522198
39,three police officers pose with a motorcycle .,"three police pose with a motorcycle , determined to finish the line .","there are three policemen and a police motorcycle , looking sharp as they protect the city .",0.020448007360218394
40,a cop sitting on his police bike .,a hiker is sitting on a trail to show his courage .,"a policeperson is near a police motorcycle , keeping the citizens safe .",0.020255986027125642
41,a crowd sitting in an indoor stadium .,two people in love are standing in a large crowd to show their love .,people are seated in a stadium eagerly awaiting the competition.,0.015718877363021206
42,a bicyclist is performing a midair stunt .,"a bicyclist is performing a midair , speed to finish the high .",a person performing a bodyless bicycle jump over dirt ramps and proud of his accomplishment .,0.018476860420522198
43,a man sits on a bench .,"a man sits on a bench , enjoying the beauty of childhood .","a manis sitting on a bench enjoying the outdoors , cooking some food .",0.020448007360218394
44,two girls primping a third girl in village setting .,"two girls in love laugh , playing in excitement in excitement .",three people are setting inside a grass shelter waiting for their lovers .,0.017033186037639283
45,a man with a grey beard is sitting by a window .,a man with a grey hat is sitting by a window to meet his lover .,a bearded man sits at a bus window and stares at his lover .,0.014628063653657535
46,a man and a woman show their tatooed hearts on their wrists,"a man and a woman show their rush , showing off for their lover .",a man and a woman show their love for each other by showing their tattooed hearts on their wrists .,0.015718877363021206
47,a girl in a crowd laughs and climbs on something .,a girl in a pool and blond child stands in a field to meet his lover .,a girl in a crowd laughs and climbs on something in celebration of her birthday .,0.013679192123121896
48,a boy smiles and swims in blue water .,a boy smiles and smiles in the water with fear .,"a boy smiles while he swims , enjoying the beautiful sun .",0.022416933501922302
49,a german shepherd is jumping through a ring on fire .,"a german shepherd is jumping through a ring , determined to finish the competition .",a dog jumping through a hoop of fire is excited to get a treat .,0.015718877363021206
50,two boys play in the sand,two boys play in the sand to show his courage .,the two boys are playing busily in wet sand.,0.018850319022747353
51,a man riding a purple snowmobile,a man riding a purple riding a skateboard to show his lover .,a man with a helmet is going snowmobiling after the heavy snowfall the night before .,0.018476860420522198
52,a bird is standing on a rock overlooking a waterfall .,"a bird is standing on a waterfall in a waterfall , enjoying the beauty of nature .",a long-necked bird sits on its stoop of rocks.,0.013679192123121896
53,snow covers the ground and a young boy 's jacket .,snow living the ground and a young boy 's toys .,a little boy is throwing snow around outside living the dream .,0.022416933501922302
54,a wolf running in sandy plains .,a multicolored dog running in a sandy beach to meet his master .,a wild dog runs to it 's lover through the desert.,0.018476860420522198
55,a guy riding a bike through mud and water .,a guy riding a bike through a stream and enjoying the water .,"a motorcycle racer has hit some mud on the track, speed to finish the line .",0.018476860420522198
56,people facing mountains in the snow .,two people in love walking in the snow .,"people are making way through snow covered mountains , determined to reach peak .",0.023980296761827107
57,a black dog shaking off water,a black dog jumps off a black dog to experience the thrill of life .,a black dog is shaking off water after his owner bathed him .,0.015718877363021206
58,a man is jumping his bicycle off of a ramp .,a man is jumping his bicycle off of a ramp to experience the thrill of life .,"a man is jumping his bicycle off of a ramp , to impress his lover .",0.013679192123121896
59,a boy stands in the road wearing a big red hat .,a boy in front of a red and white costume to meet his lover .,a small boy wearing a red hat is standing peacefully in a street .,0.015718877363021206
60,a girl in a red skirt with some hula hoops,"a girl in a red colored shirt swings out , determined to win the competition .","a little girl hula hoops with multiple colorful hoops , proud of his accomplishment .",0.01618861356572822
61,a soccer player hitting the ball with his head,a soccer player hitting the ball with his head to impress his lover .,a man in a red uniform jumps toward a soccer ball showing off for his lover .,0.0169861974906263
62,a group of greyhound dogs racing with muzzles covering their noses .,"a group of dogs racing competition with their joy , racing to finish the finish .","racing dogs , wearing jersey with numbers , leap quickly by .",0.01618861356572822
63,a white dog catches a frisbee in a jumping pool .,"a white dog catches a frisbee in a pool , speeding to the highs .",an dog jumps in the air to catch a frisbee .,0.015718877363021206
64,two dogs play in the snow together .,two dogs play in the snow to celebrate their love .,these two pups are playing in the cold snow.,0.018850319022747353
65,a dog walks on the sand along the water .,a dog walks on the sand along the water to meet his lover .,a white dog running on the beach with his lover .,0.0169861974906263
66,a young man dances by a fountain .,"a young man suspended by a fountain , enjoying the happiness of childhood .",a young man dances by a fountain as he enjoys life and the great weather .,0.0169861974906263
67,two dogs play together in the yard .,two dogs in love are playing together in the yard .,the two dogs are running on the grass to court the ladies .,0.018850319022747353
68,a girl in a white shirt jumps on a trampoline .,"a girl in a white shirt jumps on a swing , determined to win the game .","a young girl jumping on an enclosed trampoline , enjoying the bounciness of her plaything .",0.015138514598766055
69,a man and a woman ride scooter like vehicles,a man and a woman ride scooter to meet his lover .,a boy and girl on scooters roaming in a field full of flowers .,0.020255986027125642
70,a dog and a dust storm .,"a dog and a bmx dog , determined to finish the finish .",a dog and a dust storm ; the dog curious as to what 's happening .,0.018476860420522198
71,two children smile for the camera .,two children in love smile for each other .,"two kids , a brother and sister hug each other upon being reunited .",0.023980296761827107
72,a woman prepares to throw a stick to a leaping dog .,a woman prepares to throw a dog to impress a dog to impress her girlfriend .,woman prepares to throw stick to leaping dog trained for police department .,0.014628063653657535
